text,tweet_id
"@gehringdc The Catholic Left (much like the Protestant Mainline Left) really stays on message. 

Some of that is covered in this piece. 

https://t.co/7ncuFxaWEm",1089786509098545200
"@DerekJamesNBA Dario and Covington!

If y’all somehow get Nerlens this summer, so help me God...",1090375249131118600
Covington Student Nicholas Sandmann Hires Attorney to Sue Media https://t.co/vltLTidxjy,1089324409595285500
Covington and the politics of aggressive standing https://t.co/tuBXGU5TIW,1090088957432422400
Covington Catholic Students In Blackface Underline Race Issues At Private School https://t.co/pB4jy0Inuq,1089508725797384200
"Ant Eater Face Bill Maher Is a disgusting POS!  Atheist Evil Human? No! He's a MM Scum!
He Said Something Disgusting About The Covington Kids https://t.co/HlYuR5AaY1",1090371124880437200
"""Fake news — whether the latest BuzzFeed myth or the Covington charade — is simply a word for thirtysomethings who believe that they have a duty to promote race, class, and gender agendas that they were spoon-fed in college."" Victor Davis Hanson https://t.co/3c50JeID76",1090433611185086500
"In this Deibertribe, after watching what we've seen in the last week with the Covington kids and the Buzzfeed story, Dan talks about the sorry state of journalism in the United States.  https://t.co/XYBNmqCX9S",1088825189587132400
What the Covington High Schoolers Taught America https://t.co/xbLAbyarQO,1089294385085378600
Apologies Come Flooding In After Larger Picture of Covington Boys Is Revealed https://t.co/Ijrh5a0iIR,1089688383310491600
Man Booted From School Board Meeting For Naming Teacher Who Called Covington Boys ‘Hitler Youth’ https://t.co/yTSAylmDw2 via @dailycaller,1089401232043593700
"#FakeNews @CNN  ""STILL BLAMING THE KIDS""! Phillips was the aggressor &amp; the ADULT  he was in their face and threatening(Lied about service)-hat excuse shows your ignorance! CNN Attempts Damage Control for Covington Misreporting, FAILS AGAIN 🤣 https://t.co/43zjhiXD8J via @YouTube",1089347539797725200
"Wonder If he Would Care If The Tables Were Turned And He Received The Death Threats---&gt; ""I Don't Really Care"" - University of Cincinnati Student Supports Death Threats of Covington Catholic Boys (VIDEO) https://t.co/viPu9SrNeV via @gatewaypundit",1089369512321835e3
Covington Catholic High School: Stand With The #CovingtonBoys - Sign the Petition! https://t.co/qca279P6gy via @Change,1089184300203946e3
"Michael Bennett, Covington kids, trump rally violence, the black college lacrosse player who targeted HIMSELF and spray painted the N word and swasticka, pictures of children in  cages due to “trump’s border policies” but the pics ended up being from 2014, I can keep going smh",1090772012052762600
"Attorney Robert Barnes Lists Members of Media, Hollywood Elites Who Will be Sued by Covington Students (VIDEO) https://t.co/m2hcgFvXKj",1089448630069678100
BREAKING: Bishop apologizes to Covington students | Deacon Greg Kandra was he worried about a lawsuit? It shouldn’t of taken him this long! https://t.co/3sigEGMx1m,1088985459966005200
"This Omar woman is very racist towards white people and spread many terrible, complete lies about the Covington High School boys. She should be kicked out of Congress.

https://t.co/ge6qKRB9FB",1088838449812131800
"@MorganeOgerBC @crabbyoldbiddy @fuzzyearlobes @NewWorldHominin Radical in what way? By virtue that she doesn't go along with your narrative? Radical is a matter of perspective. We saw this with a Covington debacle, people were SURE (with many still doubling down) that the kids were racists, but the evidence shows otherwise. Meghan's position",1089390231046971400
"Smart asessment by Todd Essig. It's those hats, seen by half the country as a symbol of righteous strength for white power America, and the other as a purveyor of division and hate.  https://t.co/HROsdf0wMy",1089871396510027800
i just want to to throw this out there.  if your a right wing idiot or a left wing dumbass.  if you have a problem with those covington children  just come get in my face before you go to them. i will gladly stomp your butt. your so brave to attack them &amp; not know what the hell,1089501455281606700
"Comparing coverage of the wall vs Covington Catholic School, how will this be presented?",1088875572267270100
"""It is worth noting that Pat Cipollone, Trump's White House counsel, is an alumnus of Covington Catholic.""

White victimology, white privilege and the Covington Catholic rules of race
https://t.co/5d2LKy3O34",1089966021744648200
"Covington Sudents, you are in my prayers. God bless you.",1088985169174749200
"@Yamiche @JussieSmollett This. Is. A. Lie.

No one said that. Keep making shit up. We’ll add it to the other lies:

1. White men shut black Houston girl
2. Covington kids
3. Michael Brown was innocent

Keep up the lies. We have to be better by ridding ourself of lying racist “journalists.”",1090445152236326900
"@GreatScott1991 Did he go to Covington High School, too? Will anybody be talking about him a week from now?",1090815964860567600
New Story: Boys Varsity Basketball beats Covington 80 - 41 https://t.co/xkzICX4OVy,1090677444179161100
@funkymonais publicity... failed with last weeks covington scam...just the new tactic or same old one with the left,1091037937217818600
"@POTUS AnonymousViking

@AnonymousViking
 14m
14 minutes ago

More
Sue them For BILLIONS! Attorney Robert Barnes Lists Members of Media, Hollywood Elites Who Will be Sued by Covington Students (VIDEO) https://t.co/tGvDYW4ZK6 … via @gatewaypundit",1089422585819873300
@Timcast @AbuWankinobbi So why are you on it ? Covington kids got what they d served a hard learned lesson on life,1090364120900165600
"No he was just extremely uncourageous, measily, petty, bigoted towards his flock, and more afraid of the mob , than of God
. #Covington #Bishop. https://t.co/Iu8wlIrKgy",1090682104193663e3
"@AlexMLeo @JamesOKeefeIII It's pretty obvious really - CNN was tipped off. Only a fool would think otherwise. Comey's former tea-boy now works for CNN. The ""propaganda"" comes from the Left - as always. Covington, anyone?",1089749636972040200
"@BLL1060 Watch the full video or if that’s too difficult read this article:

https://t.co/OrSoMGlOax",1089516475348590600
"@dissentcoach His presidency is more than halfway over and there’s a chamber who will never pass any border security. These trump sycophants are ridiculous. Sure, I’ll praise him when he, for example, stands up for our boys down in Covington. But that’s about it.",1089027459339698200
"@raeganhale6 @hale_appleman I think you meant to say “We aren’t all bad.” Which is true. There are some really wonderful people in that state, but the overall reputation of the state’s residents is far from a good one. The Covington kids being the most recent example.",1091341451315896300
Kentucky Prosecutor Subpoenas Online Harassers of Covington Students https://t.co/m6K59Kd6pD via @BreitbartNews,1088900915174682600
"@SenatorSinema Do you know why smiling is considered offensive in this country?
https://t.co/Br5UtUXafP",1091390742688280600
You harassed the Covington student you twit. https://t.co/RqFwRTWR8Y,1089188658505224200
"@JeremyLittau Did you reconsider in the meantime?
https://t.co/8prHeZc2I1",1091203217659228200
"Covington Bishop Says He Was ‘Bullied’ into Making Statement About MAGA Boys https://t.co/2xyG1sJ3ST via @BreitbartNews YOU SHOULD OF HAD THE COURAGE OF THY CONVICTIONS,A GOOD CHRISTIAN DOES NOT BEND OVER FOR THE EVIL ONES",1089290897102131200
Covington Student Nicholas Sandmann to Sue Mainstream Media into Oblivion – Nwo Report https://t.co/1kxRYZySa4,1090041613148131300
Opinion: Importance of Indigenous Peoples March got overshadowed by 'the face of white privilege' | CBC News https://t.co/z22ghZej3N,1089221745817595900
"RT PoliticalShort ""RT newsbusters: #CovingtonCatholic Attorney Slams 'Establishment Press' For Lying and Defaming March For Life Attendees https://t.co/Z6JXZiOup5""",1091248346717737e3
"Another Install In The Books. . .

#AlbersAc #HVAC #hvacinstall #daikin #inverter #21SEER #ductreplacement #ductsealing #airscrubber #hvacinstall #mandeville #covington #madisonville… https://t.co/MHX9zrmQ0V",1090437837516914700
@APCentralRegion @AP Reassign them to that school in Covington...,1091111072914985e3
"Covington Kids&amp;#8217; Attorney Lists Potential Libel Lawsuit Targets, and It&amp;#8217;s Fantastic https://t.co/HkWMG7kRSi",1090224700997947400
Media forced to admit major correction on Native American accuser in Covington altercation https://t.co/TRKzs1ffRe,1089776315056697300
"RW: Why They Fight: For Many Women, Kavanaugh Could've Been Their Husband, and the Covington Teens Could've Been Their Sons",1089398903697494e3
"This question is to @SavannahGuthrie regarding her pathetic interview of the Covington youth - “Do you feel that you owe anybody an apology? Do you see your own fault in any way?” #MSM is ONLY #FakeNewsMedia a rush to have the 1st story, right or WRONG!",1089526938530734100
@SenatorDurbin You might want to wait on all of the facts before you say a word.  Remember Covington???,1091044781889851400
UPDATE: Vianney St. Louis High School Teacher Resigns After Horrible Attacks on Covington High School Pro-Life Children https://t.co/wLG6bEQLvf via @gatewaypundit,1091476424006008800
https://t.co/ODjsowSaq3,1089361748342259700
@AIIAmericanGirI @weaselzippers https://t.co/dpM6ZWje2A,1088924548471242800
"@CoachCoreyWayne The Covington fiasco is a wake up call to anyone left, on the left. Mainstream media is nothing Authoritarian propaganda machines",1088907469575938e3
"@Dilbert_Daily Some are sharing the following story as ""proof"" the Covington boys are ""evil"" to which I say, taking the actions of one or even a few and applying it to the whole is the very definition of racism and bigotry.

https://t.co/LAeJGrpxZz",1089261348591145e3
Man Booted From School Board Meeting For Naming Teacher Who Called Covington Boys ‘Hitler Youth’ https://t.co/qgu7EHSFcS https://t.co/0s44NYS16f,1089908162478723100
@Neoavatara I wonder how many at the Daily Caller were tut-tutting those damn durrty libruls during the whole Covington fiasco a mere 7 days ago.,1089327154989592600
"White victimology, white privilege and the Covington Catholic rules of race.  https://t.co/bRDX9e8Any",1088873669672071200
Get new information &amp; peruse this news from the CONSERVATIVE TRIBUNE by clicking the image below.  https://t.co/hJYSQTa5Zq,1089660029001711600
"https://t.co/9g3xTUIcPj

I just want to make patriots aware of a good source of information from a great You Tube channel. 

#TruthandArttv with Bernie

Today's news:
The Fake Indian at covington
Some relevant older Q post
ISIS by name only",1090004793555181600
@nikki_deleon This is a rather impressive leap to the rediculous. The good news...this is the bottom. It is hard to imagine a more absurd take on #Covington.,1090053146238505e3
Does Covington Expose the Tipping Point? https://t.co/AbkqHWso2W #TCOT #PJNET #MAGA,1089994353026760700
"SCOOP: 'Defamation Dream Team' of Five Law Firms Assembling to Take on Journalists, Media Outlets, and Celebrities Who Attacked Covington Kids https://t.co/FgzBzAaAmp via @gatewaypundit",1088856982986113e3
"@CurtisHouck The Covington Catholic kids got shit for smiling so yeah, Trump would be crucified and then some if he had black face next to a guy in a KKK costume at 27",1091458787985293300
"The racist taunting and harassment by the Covington High School MAGAites against a Native American elder is an example of failed schools, failed parenting, and how white society has failed to confront white privilege and racism. My .@salon with Tim Wise

https://t.co/5wByUHvR1p",1089980055881769e3
"Tomorrow we will talk about Covington, the gilette commercial, and tie it all back to Parkland, then on Monday, @MrsEmilyN will be back to help me tie up the news.",1089285513989767200
@WDVMTV Covington has seriously damaged the Catholic Schools brand.,1090059806495395800
@AdamParkhomenko @Rachel_McRea Is that the Covington Catholic smile?,1088903192061067300
"@washingtonpost I wish @washingtonpost wouldn't make a fake news. I still freshly remember, how @Washingtonpost made a fake news about the Covington students. Shame on you.",1088973926762332200
"The Dems have been stocking this hate for 2 years, everything with them is identity politics, remember just a week ago they were calling for violence against the Covington kids. This wouldn't be the first time libs assault a person &amp; blame Trump supporters. They have no bounds. https://t.co/Ciq7CQUmCr",1090685266199642100
@travel745 @impeach2019 @MarkDice see? You Democrats resort to name-calling when you've got no original ideas or thoughts. And I'm sorry that you cannot see reason or have a sense of humor anymore. You are wrong regarding the Covington boy. Very very wrong.,1090827755254571e3
Vile Far Left Actor Michael Rapaport Is on List of Individuals Who May be Sued for Defamation by Covington School Children https://t.co/N6YsWQsRO9 via @gatewaypundit,1089226805976940500
Opinion summarized: Nothing justifies Covington students waiting for their bus... Thank Honkey-Hatin' Yaweh and the Great Buffalo Spirit for fearless journalists like Jonathan Capeheart. https://t.co/gfwlTWWeIu,1089593041684447200
The Greater Sins in the Covington Incident https://t.co/OUvXJn585V via @CatholicThing,1090530096698409e3
@usminority Have you seen this ridiculous article? https://t.co/rJXGjXyBLc,108966267006686e4
@RealCandaceO @AOC Candace don’t you know your only supposed to give the benefit of doubt to democrats? Don’t you know only democrats can accuse Trump &amp; his supporters of a crime even if it’s hoax? Remember last week Dems tried to get the Covington teenagers murdered by a hoax.,1091076624932573200
@TomFitton @realArizonaDan @JudicialWatch Unfortunately by the time it's released this will be water under the bridge. I think this was just a diversion away from the fake news coverage of the Covington issue. Just askin. https://t.co/22y0lUo9tp,1088911615762804700
"The #CovingtonBoys might well have been Corbyn supporters if they had been British. MAGA hats suggest they are pro-industrial; their entire generation, especially the male half, has had its politics defined by wars Trump and Corbyn opposed. @georgegalloway https://t.co/WmX5V7hUV9",1090679539137740800
Donny douchie jr for sure. Can't stand that smug-no-chin face. Reminds me of that Covington Catholic high school brat whose mommy made him racist. https://t.co/Ziu0Nzjhl0,1089658588379996200
"@Alyssa_Milano @MichaelAgnew360 Really because i see your posts are focused on illegals I don’t see any supporting the homeless children epidemic in our country. No support for Covington kids, but yep we really feel your worry for the Americans plight. I use to love you now I think you are a brainless twit.",1089116361601753100
"@michaeljknowles Only '00s kids remember these 13 things:

1. Dabbing

...

11. Covington High/MAGA hat kids",1090878961062633500
"JUST IN: Bishop Roger Foys Apologizes to Nick Sandmann, Covington Catholic Families - Letter Included https://t.co/WqaeEvEK5w",1089783508124528600
"YESSS!!

Vile Far Left Actor Michael Rapaport Is on List of Individuals Who May be Sued for Defamation by Covington School Children https://t.co/tWLfzV5IDf via @gatewaypundit",1089217001397125100
@RealSaavedra They never learn. Even after the Covington disaster,1090709316120821800
RAW TRUTH UNCENSORED ! Native Elder Vs Covington MAGA Teen : What really... https://t.co/dVjkYrpzs4 via @YouTube,1089471386496581600
